DATE,PARTICULARS,DR,CR,TYPE
02-04-2021,POS XXXXXX UBER INDIA SYSTE,87.00,0,SWIPE
02-05-2021,NEFT CR UTIB ARU RAGHUVANSHI SUPR,0,"10,000.00",NEFT
02-05-2021,POS XXXXXX UBER INDIA SYSTE,77.00,0,SWIPE
02-05-2021,UPI MR JAVID SAIPAN PATE JAVIDPATEL OK,"3,500.00",0,UPI
02-05-2021,UPI NEW DRY FRUITS NX GPAY  O,145.00,0,UPI
02-06-2021,POS XXXXXX PAYHOUSE OF BEA,500.00,0,SWIPE
02-06-2021,UPI AMARDEEP,"7,500.00",0,UPI
02-07-2021,UPI GOLDEN BAKERY Q YBL YESBYBL,44.00,0,UPI
02-08-2021,UPI BHARATPE MERCHANT BHARATPE,70.00,0,UPI
02-09-2021,POS XXXXXX LIFE STYLE,"4,000.00",0,SWIPE
02-10-2021,POS XXXXXX VODAFONE MOBILE,50.00,0,SWIPE
02-11-2021,POS XXXXXX ZOMATO MEDIA PRI,"2,333.53",0,SWIPE
02-12-2021,UPI PARKASH VAGARAM CHOU GPAY,662.00,0,UPI
13-02-2021,UPI SAGAR SEKH SAGARSHEKH OKICICI PYT,150.00,0,UPI
13-02-2021,UPI RAJARAM PAYTMQRRUQEWCS,270.00,0,UPI
15-02-2021,POS XXXXXX UBER INDIA SYSTE,82.00,0,SWIPE
15-02-2021,POS XXXXXX UBER INDIA SYSTE,79.00,0,SWIPE
15-02-2021,POS XXXXXX UBER INDIA SYSTE,40.00,0,SWIPE
16-02-2021,UPI RENU SINGH RENUSINGH  OKAXIS UTIB,0,"4,257.00",UPI
16-02-2021,NWD XXXXXX NPUN PUNE,"3,600.00",0,OTH
17-02-2021,UPI MAHESH MANOHAR PARDE CHAMPARDESI O,"28,000.00",0,UPI
19-02-2021,POS XXXXXX UBER INDIA SYSTE,79.00,0,SWIPE
19-02-2021,UPI CURE WELL DRUG STORE CUREWELLDRUGSTO,115.00,0,UPI
19-02-2021,POS XXXXXX UBER INDIA SYSTE,90.00,0,SWIPE
19-02-2021,UPI PRAVADA MILIND TELAN PMTELANG OKHDF,300.00,0,UPI
19-02-2021,POS XXXXXX UBER INDIA SYSTE,63.00,0,SWIPE
19-02-2021,POS XXXXXX UBER INDIA SYSTE,79.00,0,SWIPE
20-02-2021,UPI GOLDEN BAKERY Q YBL YESBYBL,190.00,0,UPI
20-02-2021,UPI SAGAR SEKH Q YBL PYTM,165.00,0,UPI
22-02-2021,UPI AQUAFINS AQUAFINS OKHDFCBANK KKBK,100.00,0,UPI
23-02-2021,UPI ROHIT SURESH SONAKAR ROHITA OKSB,"6,000.00",0,UPI
24-02-2021,UPI DELIGHT PET SHOP Q YBL KKBK,80.00,0,UPI
24-02-2021,POS XXXXXX UBER INDIA SYSTE,80.00,0,SWIPE
27-02-2021,NEFT CR ICICSF ARU RAGHUVANSHI SUPR,0,"20,000.00",NEFT
27-02-2021,UPI GARDEN OF EATN Q YBL INDB,465.00,0,UPI
28-02-2021,MONTHLY INTEREST CREDIT,0,178.00,OTH
28-02-2021,UPI GOLDEN BAKERY Q YBL YESBYBL,66.00,0,UPI
28-02-2021,POS XXXXXX PAYU WWW HYPERPU,"2,668.10",0,SWIPE
03-01-2021,POS XXXXXX UBER INDIA SYSTE,22.39,0,SWIPE
03-01-2021,POS XXXXXX PAYU WWW HYPERPU,"6,062.06",0,SWIPE
03-02-2021,POS XXXXXX UBER INDIA SYSTE,87.51,0,SWIPE
03-03-2021,UPI DIGAMBAR NANADHOBALE OKICICI MAHG,"1,000.00",0,UPI
03-03-2021,UPI RENU SINGH RENUSINGH  OKAXIS UTIB,0,"2,668.00",UPI
03-03-2021,POS XXXXXX LIFE STYLE,"4,793.25",0,SWIPE
03-03-2021,UPI MONGINIS CAKE SHOP PAYTMQR,350.00,0,UPI
03-04-2021,UPI BHARATPEMERCHANT BHARATPE,59.00,0,UPI
03-05-2021,UPI PRADIP BHARAT GORE  YBL BK,66.00,0,UPI
03-05-2021,POS XXXXXX PAYU WWW HYPERPU,140.00,0,SWIPE
03-07-2021,UPI RENU SINGH RENUSINGH  OKAXIS UTIB,0,"6,063.00",UPI
03-07-2021,INT  AUTO REDEMPTION,0,"7,080.00",OTH
03-07-2021,PRIN AND INT AUTO REDEEM,0,"110,000.00",OTH
03-07-2021,FD THROUGH NET  SUPRIYA SH,"125,000.00",0,OTH
03-07-2021,UPI PRAMOD ASHOK SALVI PRAMODSALVI OK,75.00,0,UPI
03-07-2021,UPI SHREE BALAJI TRADERS   OK,362.00,0,UPI
03-07-2021,UPI SAGAR SEKH SAGARSHEKH OKICICI PYT,300.00,0,UPI
03-07-2021,UPI DELIGHT PET SHOP Q YBL KKBK,280.00,0,UPI
03-08-2021,UPI PAWAR FRUITS PAYTMQRXQ,40.00,0,UPI
03-08-2021,UPI SABIR MULANI PAYTMQRRY,178.00,0,UPI
03-08-2021,UPI BHARATPE MERCHANT BHARATPE,"1,500.00",0,UPI
03-08-2021,UPI RAJARAM PAYTMQRRUQEWCS,30.00,0,UPI
03-08-2021,UPI SHARADA BABAN JAGTAP JAGATAPKUMAR,49.00,0,UPI
03-08-2021,UPI NITIN VITTHAL GALPHA NITINGALPHADE,65.00,0,UPI
03-08-2021,NWD XXXXXX ID PUNE,"4,000.00",0,OTH
03-09-2021,UPI RENU SINGH RENUSINGH  OKAXIS UTIB,0,"2,865.00",UPI
03-09-2021,POS XXXXXX PAYU WWW HYPERPU,"2,859.13",0,SWIPE
03-11-2021,QUARTERLY INTEREST CREDIT,0,976.00,OTH
03-11-2021,POS XXXXXX UBER INDIA SYSTE,104.29,0,SWIPE
03-12-2021,QUARTERLY INTEREST CREDIT,0,11.00,OTH
03-12-2021,PRINCIPAL AUTO REDEEM,0,"90,000.00",OTH
03-12-2021,UPI SAGAR SEKH SAGARSHEKH OKICICI PYT,200.00,0,UPI
03-12-2021,POS XXXXXX MSWTULPULES PET,"1,700.00",0,SWIPE
13-03-2021,UPI ARU RAGHUVANSHI ARUSINGH OKHDFCBANK,0,"4,000.00",UPI
13-03-2021,UPI DELIGHT PET SHOP Q YBL KKBK,880.00,0,UPI
13-03-2021,UPI MUBIN AHMED,"2,500.00",0,UPI
13-03-2021,NWD XXXXXX SDC SATARA,"4,000.00",0,OTH
14-03-2021,POS XXXXXX KING GARDEN,"3,324.00",0,SWIPE
15-03-2021,UPI MANISH CHANDRAKANT K MK OKAX,65.00,0,UPI
15-03-2021,UPI AKASH DHANANJAY HAJA AKASHHAJARE,"1,800.00",0,UPI
16-03-2021,GNPNNWGWEUTFN  RAZPOZIVA,"2,699.00",0,OTH
17-03-2021,UPI BIMALENDU NATH CHEFBIMAL OKSB,"1,500.00",0,UPI
18-03-2021,UPI SAGAR SEKH SAGARSHEKH OKICICI PYT,300.00,0,UPI
18-03-2021,KQRXQMJBNKHNGQDY  PAYUSWIGGYIN,282.00,0,OTH
18-03-2021,UPI ARU RAGHUVANSHI ARUSINGH OKAXIS UTIB,0,100.00,UPI
18-03-2021,UPI RENU SINGH RENUSINGH  OKAXIS UTIB,0,"1,714.00",UPI
21-03-2021,POS XXXXXX UBER INDIA SYSTE,36.35,0,SWIPE
21-03-2021,UPI BIMALENDU NATH CHEFBIMAL OKSB,"4,000.00",0,UPI
24-03-2021,UPI SAGAR SEKH SAGARSHEKH OKICICI PYT,220.00,0,UPI
24-03-2021,GQVHFCEKGM  RAZPSWIGGY,193.00,0,OTH
25-03-2021,UPI NITASHA ANIKET CHANK AMZN,"1,530.00",0,UPI
26-03-2021,UPI ABUBAKAR RIYAZ SHAIK Q YBL K,400.00,0,UPI
26-03-2021,UPI RAMESH MARIBA TARTE RAMESHTARTE OKS,65.00,0,UPI
26-03-2021,UPI SHREE CAB SERVICES P  OKBI,65.00,0,UPI
27-03-2021,UPI SANTOSH KUMAR SAHI SAHISANTOSH OKA,0,"1,500.00",UPI
27-03-2021,NEFT CR UTIB ARU RAGHUVANSHI SUPR,0,"25,000.00",NEFT
27-03-2021,UPI FAIROZ RAJULAL MANIY ALINATRAVELS O,65.00,0,UPI
28-03-2021,MONTHLY INTEREST CREDIT,0,160.00,OTH
28-03-2021,UPI VIKRAM VASUDEO BHALC BHALCHIMVIKRAM,821.00,0,UPI
29-03-2021,UPI SHINDE VIKAS SHAHADE SHINDEVIKAS,60.00,0,UPI
30-03-2021,UPI RENU SINGH RENUSINGH  OKAXIS UTIB,0,"5,913.00",UPI
30-03-2021,UPI NILEWAD SANTOSH MADH NILEWADSANTOSH,75.00,0,UPI
30-03-2021,POS XXXXXX PAYU WWW HYPERPU,"5,002.34",0,SWIPE
30-03-2021,UPI KALEEM KALEEMKHAN  OKHDFCBANK,65.00,0,UPI
31-03-2021,UPI WAGHOLE AYURVED CLIN  OKBI,"5,000.00",0,UPI
31-03-2021,UPI GANESH RAGHUNATH NAV GANESHNAVSUPE,114.00,0,UPI
04-01-2021,CREDIT INTEREST CAPITALISED,374.00,0,CREDIT
