DATE,PARTICULARS,DR,CR,TYPE,Label
25-04-2017,POS  KEDARI SERVICE  PUNE,1000.0,0.0,SWIPE,Fuel
28-04-2017,POS  BHARAT PETROLEUM   PUNE,1000.0,0.0,SWIPE,Fuel
28-04-2017,POS  REGAL FOOT WEAR  PUNE,2450.0,0.0,SWIPE,Apparels
29-04-2017,POS  BPCL ROSHNI SERVI  PUNE,1000.0,0.0,SWIPE,Fuel
05-01-2017,POS  BHARAT PETROLEUM   PUNE,1000.0,0.0,SWIPE,Fuel
05-02-2017,BRN TO CASH MAHENDRA PANDGALE,15000.0,0.0,CC,Cash
05-03-2017,BRN PYMT CARD,5740.79,0.0,CC,CC
05-05-2017,MERCH REFUND DT     S K AUTO CARE,0.0,7.5,OTH,Credit
05-05-2017,MERCH REFUND DT     SAI EXPRESSWAY SERVICE,0.0,3.75,OTH,Credit
05-05-2017,MERCH REFUND DT     NRUSINHA PETROLEUM,0.0,7.5,OTH,Credit
05-05-2017,MERCH REFUND DT     BHARAT PETROLEUM CORPO,0.0,7.5,OTH,Credit
05-05-2017,MERCH REFUND DT     BPCL COCO,0.0,1.5,OTH,Credit
05-06-2017,POS  ROHIT WINES  PUNE,1095.0,0.0,SWIPE,Wines
05-08-2017,POS  KEDARI SERVICE  PUNE,1000.0,0.0,SWIPE,Fuel
05-09-2017,INB  IFT  PUNES MINI PUNJABB  TPARTY TRANSFER,0.0,15000.0,NETBANK,Food
05-09-2017,POS  BELDARE PATIL  PUNE,1000.0,0.0,SWIPE,Unknown
05-09-2017,INB    TECHPROCESS SOLUTIONS LTD,1529.5,0.0,NETBANK,Commodity
05-11-2017,POS  BPCL COCO  PUNE,1000.0,0.0,SWIPE,Fuel
05-11-2017,POS  THE MOBILE WORLD   PUNE,850.0,0.0,SWIPE,Commodity
13-05-2017,POS  BHARAT PETROLEUM   PUNE,1000.0,0.0,SWIPE,Fuel
15-05-2017,POS  BPCL COCO  PUNE,1000.0,0.0,SWIPE,Fuel
16-05-2017,POS  INDIAN OIL   PUNE,1000.0,0.0,SWIPE,Fuel
17-05-2017,INB  IFT  WOODSTOCK HELICOPTERS PVT LTD  TPARTY TRAN,0.0,600000.0,NETBANK,Transfer
17-05-2017,INB  IFT  Dad  TPARTY TRANSFER,340000.0,0.0,NETBANK,Transfer
17-05-2017,INB  IFT  Mum  TPARTY TRANSFER,130000.0,0.0,NETBANK,Transfer
17-05-2017,INB  IFT  WHPL  TPARTY TRANSFER,50000.0,0.0,NETBANK,Transfer
19-05-2017,BRN TO CASH SELF,12000.0,0.0,CC,Self
19-05-2017,POS  SAI EXPRESSWAY  PUNE,1000.0,0.0,SWIPE,Vehicles
20-05-2017,POS  LIVE FOR FOOD F &  PUNE,1855.0,0.0,SWIPE,Food
22-05-2017,POS  BETOS  PUNE,3000.0,0.0,SWIPE,Food
22-05-2017,INB  IFT  NAVIN SINGH  TPARTY TRANSFER,0.0,154000.0,NETBANK,Transfer
22-05-2017,INB  IFT  WHPL  TPARTY TRANSFER,154163.0,0.0,NETBANK,Transfer
22-05-2017,ECOM PUR  BIGTREE ENTER  MUMBAI,391.26,0.0,ONLINE,Movies
23-05-2017,POS  BPCL COCO  PUNE,1000.0,0.0,SWIPE,Fuel
23-05-2017,POS  CHITALIA PLASTICS  Pune,2600.0,0.0,SWIPE,Others
24-05-2017,ECOM PUR  BUNDL TECHNOL  Banglore,1213.0,0.0,ONLINE,Food
26-05-2017,MERCH REFUND DT     BPCL COCO,0.0,7.5,OTH,Credit
26-05-2017,MERCH REFUND DT     BELDARE PATIL PETROLEU,0.0,7.5,OTH,Credit
26-05-2017,MERCH REFUND DT     KEDARI SERVICE STATION,0.0,7.5,OTH,Credit
26-05-2017,MERCH REFUND DT     BPCL COCO,0.0,7.5,OTH,Credit
26-05-2017,MERCH REFUND DT     BHARAT PETROLEUM CORPO,0.0,7.5,OTH,Credit
30-05-2017,POS  SAI EXPRESSWAY  PUNE,1000.0,0.0,SWIPE,Vehicles
06-01-2017,POS  NRUSINHA  PUNE,1000.0,0.0,SWIPE,Others
06-01-2017,INB    AMAZON SELLER SERVICES PVT LTD(BILL,649.0,0.0,NETBANK,Online
06-02-2017,BRN PYMT CARD,4135.87,0.0,CC,CC
06-02-2017,POS  GAYATRI HOSPITALI  PUNE,560.0,0.0,SWIPE,Medical
06-03-2017,MERCH REFUND DT     INDIAN OIL CORPORATION,0.0,7.5,OTH,Credit
06-03-2017,MERCH REFUND DT     SAI EXPRESSWAY SERVICE,0.0,7.5,OTH,Credit
06-03-2017,MERCH REFUND DT     BPCL COCO,0.0,7.5,OTH,Credit
06-03-2017,ECOM PUR  WWW SWIGGY IN  GURGAON,295.0,0.0,ONLINE,Food
06-05-2017,POS  FOODJOCKEYS  PUNE,3132.0,0.0,SWIPE,Food
06-05-2017,POS  JOVOS  PUNE,880.0,0.0,SWIPE,Food
06-06-2017,POS  MAULI PETROLIUM  PUNE,1000.0,0.0,SWIPE,Fuel
05-11-2017,POS  THE MOBILE WORLD   PUNE,850.0,0.0,SWIPE,Commodity
13-05-2017,POS  BHARAT PETROLEUM   PUNE,1000.0,0.0,SWIPE,Fuel
15-05-2017,POS  BPCL COCO  PUNE,1000.0,0.0,SWIPE,Fuel
16-05-2017,POS  INDIAN OIL   PUNE,1000.0,0.0,SWIPE,Fuel
17-05-2017,INB  IFT  WOODSTOCK HELICOPTERS PVT LTD  TPARTY TRAN,0.0,600000.0,NETBANK,Transfer
17-05-2017,INB  IFT  Dad  TPARTY TRANSFER,340000.0,0.0,NETBANK,Transfer
17-05-2017,INB  IFT  Mum  TPARTY TRANSFER,130000.0,0.0,NETBANK,Transfer
17-05-2017,INB  IFT  WHPL  TPARTY TRANSFER,50000.0,0.0,NETBANK,Transfer
19-05-2017,BRN TO CASH SELF,12000.0,0.0,CC,Self
19-05-2017,POS  SAI EXPRESSWAY  PUNE,1000.0,0.0,SWIPE,Vehicles
20-05-2017,POS  LIVE FOR FOOD F &  PUNE,1855.0,0.0,SWIPE,Food
22-05-2017,POS  BETOS  PUNE,3000.0,0.0,SWIPE,Food
22-05-2017,INB  IFT  NAVIN SINGH  TPARTY TRANSFER,0.0,154000.0,NETBANK,Transfer
22-05-2017,INB  IFT  WHPL  TPARTY TRANSFER,154163.0,0.0,NETBANK,Transfer
22-05-2017,ECOM PUR  BIGTREE ENTER  MUMBAI,391.26,0.0,ONLINE,Movies
23-05-2017,POS  BPCL COCO  PUNE,1000.0,0.0,SWIPE,Fuel
23-05-2017,POS  CHITALIA PLASTICS  Pune,2600.0,0.0,SWIPE,Others
24-05-2017,ECOM PUR  BUNDL TECHNOL  Banglore,1213.0,0.0,ONLINE,Food
26-05-2017,MERCH REFUND DT     BPCL COCO,0.0,7.5,OTH,Credit
26-05-2017,MERCH REFUND DT     BELDARE PATIL PETROLEU,0.0,7.5,OTH,Credit
26-05-2017,MERCH REFUND DT     KEDARI SERVICE STATION,0.0,7.5,OTH,Credit
26-05-2017,MERCH REFUND DT     BPCL COCO,0.0,7.5,OTH,Credit
26-05-2017,MERCH REFUND DT     BHARAT PETROLEUM CORPO,0.0,7.5,OTH,Credit
30-05-2017,POS  SAI EXPRESSWAY  PUNE,1000.0,0.0,SWIPE,Vehicles
06-01-2017,POS  NRUSINHA  PUNE,1000.0,0.0,SWIPE,Others
06-01-2017,INB    AMAZON SELLER SERVICES PVT LTD(BILL,649.0,0.0,NETBANK,Online
06-02-2017,BRN PYMT CARD,4135.87,0.0,CC,CC
06-02-2017,POS  GAYATRI HOSPITALI  PUNE,560.0,0.0,SWIPE,Medical
06-03-2017,MERCH REFUND DT     INDIAN OIL CORPORATION,0.0,7.5,OTH,Credit
06-03-2017,MERCH REFUND DT     SAI EXPRESSWAY SERVICE,0.0,7.5,OTH,Credit
06-03-2017,MERCH REFUND DT     BPCL COCO,0.0,7.5,OTH,Credit
06-03-2017,ECOM PUR  WWW SWIGGY IN  GURGAON,295.0,0.0,ONLINE,Food
06-05-2017,POS  FOODJOCKEYS  PUNE,3132.0,0.0,SWIPE,Food
06-05-2017,POS  JOVOS  PUNE,880.0,0.0,SWIPE,Food
06-06-2017,POS  MAULI PETROLIUM  PUNE,1000.0,0.0,SWIPE,Fuel
06-08-2017,INB  IFT  RENU SINGH  TPARTY TRANSFER,0.0,25000.0,NETBANK,Transfer
06-09-2017,INB    VODAFONE(BILLDESK)  NA,1522.6,0.0,NETBANK,Bills
06-09-2017,INB  IFT  WHPL  TPARTY TRANSFER,25000.0,0.0,NETBANK,Transfer
06-10-2017,POS  T R WINES  PUNE,480.0,0.0,SWIPE,Wines
06-12-2017,POS  DEVI PRIME REALTY  PUNE,1300.0,0.0,SWIPE,Investment
06-12-2017,INB  IFT  NAVIN SINGH  TPARTY TRANSFER,0.0,32000.0,NETBANK,Transfer
06-12-2017,INB  IFT  WHPL  TPARTY TRANSFER,31600.0,0.0,NETBANK,Transfer
06-12-2017,POS  KEDARI SERVICE  PUNE,1000.0,0.0,SWIPE,Fuel
06-12-2017,ECOM PUR  BUNDL TECHNOL  Banglore,401.0,0.0,ONLINE,Food
14-06-2017,ECOM PUR  PayTm Mobile  Noida,1000.0,0.0,ONLINE,Commodity
15-06-2017,UPI  PA,3300.0,0.0,UPI,Unknown
16-06-2017,MERCH REFUND DT     SAI EXPRESSWAY SERVICE,0.0,7.5,OTH,Credit
16-06-2017,MERCH REFUND DT     MAULI PETROLIUM,0.0,7.5,OTH,Credit
16-06-2017,MERCH REFUND DT     NRUSINHA PETROLEUM,0.0,7.5,OTH,Credit
16-06-2017,POS  T R WINES  PUNE,640.0,0.0,SWIPE,Wines
17-06-2017,MERCH REFUND DT     BHARAT PETROLEUM CORPO,0.0,7.5,OTH,Credit
17-06-2017,MERCH REFUND DT     KEDARI SERVICE STATION,0.0,7.5,OTH,Credit
19-06-2017,POS  FOODJOCKEYS  PUNE,1060.0,0.0,SWIPE,Food
19-06-2017,POS  EPIPHANY HOSPITAL  PUNE,6903.0,0.0,SWIPE,Medical
20-06-2017,POS  TOUCHE THE SIZZLE  PUNE,2590.0,0.0,SWIPE,Food
24-06-2017,Int Pd    to,0.0,596.0,INTEREST,Credit
27-06-2017,POS  FOODJOCKEYS  PUNE,1775.0,0.0,SWIPE,Food
28-06-2017,INB  NEFT  AXIR  Amol  FSSAI of D,8500.0,0.0,NETBANK,Self
28-06-2017,POS  BHARAT PETROLEUM   PUNE,1000.0,0.0,SWIPE,Fuel
29-06-2017,POS  RAJYOG PETROLEUM  PUNE,1000.0,0.0,SWIPE,Fuel
30-06-2017,MERCH REFUND DT     KEDARI SERVICE STATION,0.0,7.5,OTH,Credit
07-03-2017,POS  SAI EXPRESSWAY  PUNE,1000.0,0.0,SWIPE,Vehicles
07-03-2017,POS  MC DONALDS  MUMBAI,109.0,0.0,SWIPE,Food
07-03-2017,POS  LIVE FOR FOOD F &  PUNE,540.0,0.0,SWIPE,Food
07-04-2017,ECOM PUR  SHAADI COM(IN  mumbai,4860.0,0.0,ONLINE,Online
07-04-2017,POS  KEDARI SERVICE  PUNE,1000.0,0.0,SWIPE,Fuel
07-07-2017,POS  FOODJOCKEYS  PUNE,1575.0,0.0,SWIPE,Food
07-07-2017,POS  FOODJOCKEYS  PUNE,525.0,0.0,SWIPE,Food
07-11-2017,INB  IFT  RENU SINGH  TPARTY TRANSFER,0.0,100000.0,NETBANK,Transfer
07-11-2017,INB  IFT  WHPL  TPARTY TRANSFER,90000.0,0.0,NETBANK,Transfer
07-11-2017,BRN TO CASH MAHESH RANDIVE,6000.0,0.0,CC,Cash
06-08-2017,INB  IFT  RENU SINGH  TPARTY TRANSFER,0.0,25000.0,NETBANK,Transfer
06-09-2017,INB    VODAFONE(BILLDESK)  NA,1522.6,0.0,NETBANK,Bills
06-09-2017,INB  IFT  WHPL  TPARTY TRANSFER,25000.0,0.0,NETBANK,Transfer
06-10-2017,POS  T R WINES  PUNE,480.0,0.0,SWIPE,Wines
06-12-2017,POS  DEVI PRIME REALTY  PUNE,1300.0,0.0,SWIPE,Investment
06-12-2017,INB  IFT  NAVIN SINGH  TPARTY TRANSFER,0.0,32000.0,NETBANK,Transfer
06-12-2017,INB  IFT  WHPL  TPARTY TRANSFER,31600.0,0.0,NETBANK,Transfer
06-12-2017,POS  KEDARI SERVICE  PUNE,1000.0,0.0,SWIPE,Fuel
06-12-2017,ECOM PUR  BUNDL TECHNOL  Banglore,401.0,0.0,ONLINE,Food
14-06-2017,ECOM PUR  PayTm Mobile  Noida,1000.0,0.0,ONLINE,Commodity
15-06-2017,UPI  PA,3300.0,0.0,UPI,Unknown
16-06-2017,MERCH REFUND DT     SAI EXPRESSWAY SERVICE,0.0,7.5,OTH,Credit
16-06-2017,MERCH REFUND DT     MAULI PETROLIUM,0.0,7.5,OTH,Credit
16-06-2017,MERCH REFUND DT     NRUSINHA PETROLEUM,0.0,7.5,OTH,Credit
16-06-2017,POS  T R WINES  PUNE,640.0,0.0,SWIPE,Wines
17-06-2017,MERCH REFUND DT     BHARAT PETROLEUM CORPO,0.0,7.5,OTH,Credit
17-06-2017,MERCH REFUND DT     KEDARI SERVICE STATION,0.0,7.5,OTH,Credit
19-06-2017,POS  FOODJOCKEYS  PUNE,1060.0,0.0,SWIPE,Food
19-06-2017,POS  EPIPHANY HOSPITAL  PUNE,6903.0,0.0,SWIPE,Medical
20-06-2017,POS  TOUCHE THE SIZZLE  PUNE,2590.0,0.0,SWIPE,Food
24-06-2017,Int Pd    to,0.0,596.0,INTEREST,Credit
27-06-2017,POS  FOODJOCKEYS  PUNE,1775.0,0.0,SWIPE,Food
28-06-2017,INB  NEFT  AXIR  Amol  FSSAI of D,8500.0,0.0,NETBANK,Self
28-06-2017,POS  BHARAT PETROLEUM   PUNE,1000.0,0.0,SWIPE,Fuel
29-06-2017,POS  RAJYOG PETROLEUM  PUNE,1000.0,0.0,SWIPE,Fuel
30-06-2017,MERCH REFUND DT     KEDARI SERVICE STATION,0.0,7.5,OTH,Credit
07-03-2017,POS  SAI EXPRESSWAY  PUNE,1000.0,0.0,SWIPE,Vehicles
07-03-2017,POS  MC DONALDS  MUMBAI,109.0,0.0,SWIPE,Food
07-03-2017,POS  LIVE FOR FOOD F &  PUNE,540.0,0.0,SWIPE,Food
07-04-2017,ECOM PUR  SHAADI COM(IN  mumbai,4860.0,0.0,ONLINE,Online
07-04-2017,POS  KEDARI SERVICE  PUNE,1000.0,0.0,SWIPE,Fuel
07-07-2017,POS  FOODJOCKEYS  PUNE,1575.0,0.0,SWIPE,Food
07-07-2017,POS  FOODJOCKEYS  PUNE,525.0,0.0,SWIPE,Food
07-11-2017,INB  IFT  RENU SINGH  TPARTY TRANSFER,0.0,100000.0,NETBANK,Transfer
07-11-2017,INB  IFT  WHPL  TPARTY TRANSFER,90000.0,0.0,NETBANK,Transfer
07-11-2017,BRN TO CASH MAHESH RANDIVE,6000.0,0.0,CC,Cash
07-12-2017,ECOM PUR  VODAFONE  MUMBAI,1526.06,0.0,ONLINE,Bills
13-07-2017,MERCH REFUND DT     BHARAT PETROLEUM CORPO,0.0,7.5,OTH,Credit
13-07-2017,POS  V R WINES  PUNE,1235.0,0.0,SWIPE,Wines
14-07-2017,POS  MAXWELL CHEMIST  PUNE,930.0,0.0,SWIPE,Medical
14-07-2017,ECOM PUR  SWIGGY  NOIDA,807.0,0.0,ONLINE,Food
15-07-2017,INB  IFT  RENU SINGH  TPARTY TRANSFER,0.0,130000.0,NETBANK,Transfer
15-07-2017,INB  IFT  WHPL  TPARTY TRANSFER,100000.0,0.0,NETBANK,Transfer
15-07-2017,POS  KFC Baner  PUNE,311.52,0.0,SWIPE,Food
15-07-2017,POS  KFC Baner  PUNE,638.38,0.0,SWIPE,Food
15-07-2017,MERCH REFUND DT     KEDARI SERVICE STATION,0.0,7.5,OTH,Credit
15-07-2017,MERCH REFUND DT     SAI EXPRESSWAY SERVICE,0.0,7.5,OTH,Credit
15-07-2017,MERCH REFUND DT     RAJYOG PETROLEUM,0.0,7.5,OTH,Credit
15-07-2017,POS  BPCL COCO  PUNE,1000.0,0.0,SWIPE,Fuel
15-07-2017,UPI  PA,2890.0,0.0,UPI,Unknown
17-07-2017,POS  THE WESTIN PUNE  PUNE,1350.0,0.0,SWIPE,Hotel
17-07-2017,POS  THE WESTIN PUNE  PUNE,1750.0,0.0,SWIPE,Hotel
18-07-2017,POS  FOODJOCKEYS  PUNE,791.0,0.0,SWIPE,Food
18-07-2017,POS  FOODJOCKEYS  PUNE,265.0,0.0,SWIPE,Food
20-07-2017,ECOM PUR  Bundal PAYU A  Gurugram,357.0,0.0,ONLINE,Food
21-07-2017,MERCH REFUND DT     BPCL COCO,0.0,7.5,OTH,Credit
22-07-2017,ECOM PUR  Bundal PAYU A  Gurugram,404.0,0.0,ONLINE,Food
24-07-2017,INB  IFT  RENU SINGH  TPARTY TRANSFER,0.0,300000.0,NETBANK,Transfer
24-07-2017,INB  IFT  WHPL  TPARTY TRANSFER,50000.0,0.0,NETBANK,Transfer
24-07-2017,INB  IFT  Rahul Pardeshi  TPARTY TRANSFER,5000.0,0.0,NETBANK,Transfer
24-07-2017,POS  BURGER KING   PUNE,481.44,0.0,SWIPE,Food
25-07-2017,INB  IFT  WHPL  TPARTY TRANSFER,115000.0,0.0,NETBANK,Transfer
26-07-2017,INB  IFT  WHPL  TPARTY TRANSFER,35000.0,0.0,NETBANK,Transfer
26-07-2017,INB  IFT  WHPL  TPARTY TRANSFER,2000.0,0.0,NETBANK,Transfer
26-07-2017,INB  IFT  PUNES MINI PUNJABB  TPARTY TRANSFER,0.0,30000.0,NETBANK,Food
26-07-2017,INB  IFT  Gauri Misal  TPARTY TRANSFER,10000.0,0.0,NETBANK,Transfer
26-07-2017,INB  NEFT  AXIR  Aru Raghuvans  just distr,15000.0,0.0,NETBANK,Self
28-07-2017,POS  FOODJOCKEYS  PUNE,1575.0,0.0,SWIPE,Food
28-07-2017,POS  FOODJOCKEYS  PUNE,262.0,0.0,SWIPE,Food
28-07-2017,POS  KEDARI SERVICE  PUNE,1000.0,0.0,SWIPE,Fuel
28-07-2017,POS  CAFE COFFEE DAY  MANTRA,224.0,0.0,SWIPE,Food
30-07-2017,POS  THE WESTIN PUNE  PUNE,1350.0,0.0,SWIPE,Hotel
31-07-2017,INB  IFT  WHPL  TPARTY TRANSFER,50000.0,0.0,NETBANK,Transfer
07-12-2017,ECOM PUR  VODAFONE  MUMBAI,1526.06,0.0,ONLINE,Bills
13-07-2017,MERCH REFUND DT     BHARAT PETROLEUM CORPO,0.0,7.5,OTH,Credit
13-07-2017,POS  V R WINES  PUNE,1235.0,0.0,SWIPE,Wines
14-07-2017,POS  MAXWELL CHEMIST  PUNE,930.0,0.0,SWIPE,Medical
14-07-2017,ECOM PUR  SWIGGY  NOIDA,807.0,0.0,ONLINE,Food
15-07-2017,INB  IFT  RENU SINGH  TPARTY TRANSFER,0.0,130000.0,NETBANK,Transfer
15-07-2017,INB  IFT  WHPL  TPARTY TRANSFER,100000.0,0.0,NETBANK,Transfer
15-07-2017,POS  KFC Baner  PUNE,311.52,0.0,SWIPE,Food
15-07-2017,POS  KFC Baner  PUNE,638.38,0.0,SWIPE,Food
15-07-2017,MERCH REFUND DT     KEDARI SERVICE STATION,0.0,7.5,OTH,Credit
15-07-2017,MERCH REFUND DT     SAI EXPRESSWAY SERVICE,0.0,7.5,OTH,Credit
15-07-2017,MERCH REFUND DT     RAJYOG PETROLEUM,0.0,7.5,OTH,Credit
15-07-2017,POS  BPCL COCO  PUNE,1000.0,0.0,SWIPE,Fuel
15-07-2017,UPI  PA,2890.0,0.0,UPI,Unknown
17-07-2017,POS  THE WESTIN PUNE  PUNE,1350.0,0.0,SWIPE,Hotel
17-07-2017,POS  THE WESTIN PUNE  PUNE,1750.0,0.0,SWIPE,Hotel
18-07-2017,POS  FOODJOCKEYS  PUNE,791.0,0.0,SWIPE,Food
18-07-2017,POS  FOODJOCKEYS  PUNE,265.0,0.0,SWIPE,Food
20-07-2017,ECOM PUR  Bundal PAYU A  Gurugram,357.0,0.0,ONLINE,Food
21-07-2017,MERCH REFUND DT     BPCL COCO,0.0,7.5,OTH,Credit
22-07-2017,ECOM PUR  Bundal PAYU A  Gurugram,404.0,0.0,ONLINE,Food
24-07-2017,INB  IFT  RENU SINGH  TPARTY TRANSFER,0.0,300000.0,NETBANK,Transfer
24-07-2017,INB  IFT  WHPL  TPARTY TRANSFER,50000.0,0.0,NETBANK,Transfer
24-07-2017,INB  IFT  Rahul Pardeshi  TPARTY TRANSFER,5000.0,0.0,NETBANK,Transfer
24-07-2017,POS  BURGER KING   PUNE,481.44,0.0,SWIPE,Food
25-07-2017,INB  IFT  WHPL  TPARTY TRANSFER,115000.0,0.0,NETBANK,Transfer
26-07-2017,INB  IFT  WHPL  TPARTY TRANSFER,35000.0,0.0,NETBANK,Transfer
26-07-2017,INB  IFT  WHPL  TPARTY TRANSFER,2000.0,0.0,NETBANK,Transfer
26-07-2017,INB  IFT  PUNES MINI PUNJABB  TPARTY TRANSFER,0.0,30000.0,NETBANK,Food
26-07-2017,INB  IFT  Gauri Misal  TPARTY TRANSFER,10000.0,0.0,NETBANK,Transfer
